Date : 2023-04-21 21:43:59
Directory : c:\Users\alwin\Documents\RBX_PROJECTS\ABM
Total : 950 files,  110538 codes, 1675 comments, 12216 blanks, all 124429 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test                                                                                                                     |          3 |         78 |          0 |         19 |         97 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test\client                                                                                                              |          2 |         69 |          0 |         15 |         84 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test\server                                                                                                              |          1 |          9 |          0 |          4 |         13 |
| Packages\_Index\brittonfischer_profileservice@2.1.5                                                                                                                       |          2 |      1,895 |        178 |        347 |      2,420 |
| Packages\_Index\brittonfischer_profileservice@2.1.5\profileservice                                                                                                        |          2 |      1,895 |        178 |        347 |      2,420 |
| Packages\_Index\brittonfischer_profileservice@2.1.5\profileservice (Files)                                                                                                |          1 |          6 |          0 |          0 |          6 |
| Packages\_Index\brittonfischer_profileservice@2.1.5\profileservice\src                                                                                                    |          1 |      1,889 |        178 |        347 |      2,414 |
| Packages\_Index\evaera_matter@0.6.2                                                                                                                                       |         49 |      4,681 |        105 |      1,370 |      6,156 |
| Packages\_Index\evaera_matter@0.6.2 (Files)                                                                                                                               |          1 |          1 |          0 |          1 |          2 |
| Packages\_Index\evaera_matter@0.6.2\matter                                                                                                                                |         48 |      4,680 |        105 |      1,369 |      6,154 |
| Packages\_Index\evaera_matter@0.6.2\matter (Files)                                                                                                                        |          6 |        189 |          0 |         27 |        216 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib                                                                                                                            |         42 |      4,491 |        105 |      1,342 |      5,938 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib (Files)                                                                                                                    |         14 |      2,311 |         79 |        731 |      3,121 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger                                                                                                                   |         22 |      1,793 |         19 |        483 |      2,295 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger (Files)                                                                                                           |          8 |      1,013 |         17 |        275 |      1,305 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets                                                                                                           |         14 |        780 |          2 |        208 |        990 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks                                                                                                                      |          5 |        352 |          7 |        117 |        476 |
| Packages\_Index\evaera_matter@0.6.2\matter\lib\mock                                                                                                                       |          1 |         35 |          0 |         11 |         46 |
| Packages\_Index\evaera_promise@4.0.0                                                                                                                                      |        315 |     13,499 |        421 |      3,644 |     17,564 |
| Packages\_Index\evaera_promise@4.0.0\promise                                                                                                                              |        315 |     13,499 |        421 |      3,644 |     17,564 |
| Packages\_Index\evaera_promise@4.0.0\promise (Files)                                                                                                                      |          5 |        171 |          1 |         41 |        213 |
| Packages\_Index\evaera_promise@4.0.0\promise\docs                                                                                                                         |          5 |        440 |          0 |        166 |        606 |
| Packages\_Index\evaera_promise@4.0.0\promise\lib                                                                                                                          |          2 |      2,946 |        157 |        811 |      3,914 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules                                                                                                                      |        303 |      9,942 |        263 |      2,626 |     12,831 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez                                                                                                               |        303 |      9,942 |        263 |      2,626 |     12,831 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez (Files)                                                                                                       |          7 |        215 |          0 |         74 |        289 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github                                                                                                       |          3 |        141 |          2 |         36 |        179 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows                                                                                             |          3 |        141 |          2 |         36 |        179 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs                                                                                                          |          7 |        174 |          0 |         61 |        235 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs (Files)                                                                                                  |          3 |         97 |          0 |         34 |        131 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started                                                                                          |          4 |         77 |          0 |         27 |        104 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules                                                                                                       |        228 |      6,450 |         83 |      1,696 |      8,229 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur                                                                                                 |        228 |      6,450 |         83 |      1,696 |      8,229 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur (Files)                                                                                         |          6 |        307 |          1 |         39 |        347 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib                                                                                             |        211 |      6,054 |         78 |      1,618 |      7,750 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib (Files)                                                                                     |         24 |        997 |         40 |        340 |      1,377 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum                                                                                        |         30 |        528 |          0 |         35 |        563 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions                                                                                   |          9 |        179 |          0 |         51 |        230 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions (Files)                                                                           |          7 |        106 |          0 |         28 |        134 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions\settings                                                                          |          2 |         73 |          0 |         23 |         96 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\instances                                                                                   |        121 |      3,130 |         18 |        840 |      3,988 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\libs                                                                                        |          7 |        186 |          7 |         35 |        228 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\taskFunctions                                                                               |          7 |        141 |          0 |         37 |        178 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\types                                                                                       |         13 |        893 |         13 |        280 |      1,186 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec                                                                                            |         11 |         89 |          4 |         39 |        132 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec (Files)                                                                                    |          2 |         84 |          0 |         39 |        123 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require                                                                                    |          5 |          5 |          0 |          0 |          5 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require (Files)                                                                            |          4 |          4 |          0 |          0 |          4 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require\bar                                                                                |          1 |          1 |          0 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project                                                                               |          4 |          0 |          4 |          0 |          4 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project (Files)                                                                       |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project\normal-folder                                                                 |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project\usurp                                                                         |          2 |          0 |          2 |          0 |          2 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src                                                                                                           |         14 |      1,313 |         80 |        348 |      1,741 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src (Files)                                                                                                   |         11 |      1,084 |         75 |        277 |      1,436 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src\Reporters                                                                                                 |          3 |        229 |          5 |         71 |        305 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\test                                                                                                          |          3 |         95 |         17 |         34 |        146 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli                                                                                                    |         19 |        863 |         56 |        249 |      1,168 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli (Files)                                                                                            |          2 |         63 |          0 |         27 |         90 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src                                                                                                |         17 |        800 |         56 |        222 |      1,078 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src (Files)                                                                                        |         10 |        533 |         52 |        144 |        729 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src\targets                                                                                        |          3 |        204 |          2 |         53 |        259 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src\tools                                                                                          |          4 |         63 |          2 |         25 |         90 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests                                                                                                         |         22 |        691 |         25 |        128 |        844 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests (Files)                                                                                                 |          6 |        535 |          5 |         92 |        632 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\failing                                                                                                 |          5 |         38 |          5 |          6 |         49 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\passing                                                                                                 |          8 |         89 |         10 |         19 |        118 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\planning                                                                                                |          3 |         29 |          5 |         11 |         45 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4                                                                                                                           |         27 |     26,946 |         60 |        444 |     27,450 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet                                                                                                                 |         27 |     26,946 |         60 |        444 |     27,450 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet (Files)                                                                                                         |          8 |     25,292 |         11 |         54 |     25,357 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet\docs                                                                                                            |          5 |        126 |          0 |         38 |        164 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet\src                                                                                                             |         12 |      1,366 |         49 |        317 |      1,732 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet\tests                                                                                                           |          2 |        162 |          0 |         35 |        197 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet\tests\client                                                                                                    |          1 |         74 |          0 |         17 |         91 |
| Packages\_Index\ffrostflame_bridgenet@2.0.0-rc4\bridgenet\tests\server                                                                                                    |          1 |         88 |          0 |         18 |        106 |
| Packages\_Index\howmanysmall_janitor@1.14.2                                                                                                                               |          7 |        590 |         35 |        150 |        775 |
| Packages\_Index\howmanysmall_janitor@1.14.2\janitor                                                                                                                       |          7 |        590 |         35 |        150 |        775 |
| Packages\_Index\howmanysmall_janitor@1.14.2\janitor (Files)                                                                                                               |          3 |         38 |          0 |          0 |         38 |
| Packages\_Index\howmanysmall_janitor@1.14.2\janitor\src                                                                                                                   |          4 |        552 |         35 |        150 |        737 |
| Packages\_Index\osyrisrblx_t@3.0.0                                                                                                                                        |          3 |      1,156 |         85 |        384 |      1,625 |
| Packages\_Index\osyrisrblx_t@3.0.0\t                                                                                                                                      |          3 |      1,156 |         85 |        384 |      1,625 |
| Packages\_Index\osyrisrblx_t@3.0.0\t (Files)                                                                                                                              |          2 |        292 |          0 |         83 |        375 |
| Packages\_Index\osyrisrblx_t@3.0.0\t\lib                                                                                                                                  |          1 |        864 |         85 |        301 |      1,250 |
| Packages\_Index\penguindevs_boattween@1.0.1                                                                                                                               |          5 |      1,264 |         16 |        279 |      1,559 |
| Packages\_Index\penguindevs_boattween@1.0.1\boattween                                                                                                                     |          5 |      1,264 |         16 |        279 |      1,559 |
| Packages\_Index\roblox_testez@0.4.1                                                                                                                                       |        321 |     10,720 |        286 |      2,822 |     13,828 |
| Packages\_Index\roblox_testez@0.4.1\testez                                                                                                                                |        321 |     10,720 |        286 |      2,822 |     13,828 |
| Packages\_Index\roblox_testez@0.4.1\testez (Files)                                                                                                                        |          7 |        234 |          0 |         78 |        312 |
| Packages\_Index\roblox_testez@0.4.1\testez\.github                                                                                                                        |          4 |        157 |          2 |         40 |        199 |
| Packages\_Index\roblox_testez@0.4.1\testez\.github\workflows                                                                                                              |          4 |        157 |          2 |         40 |        199 |
| Packages\_Index\roblox_testez@0.4.1\testez\docs                                                                                                                           |          7 |        329 |          0 |        117 |        446 |
| Packages\_Index\roblox_testez@0.4.1\testez\docs (Files)                                                                                                                   |          3 |        252 |          0 |         90 |        342 |
| Packages\_Index\roblox_testez@0.4.1\testez\docs\getting-started                                                                                                           |          4 |         77 |          0 |         27 |        104 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules                                                                                                                        |        228 |      6,450 |         83 |      1,696 |      8,229 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur                                                                                                                  |        228 |      6,450 |         83 |      1,696 |      8,229 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur (Files)                                                                                                          |          6 |        307 |          1 |         39 |        347 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib                                                                                                              |        211 |      6,054 |         78 |      1,618 |      7,750 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib (Files)                                                                                                      |         24 |        997 |         40 |        340 |      1,377 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\Enum                                                                                                         |         30 |        528 |          0 |         35 |        563 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\functions                                                                                                    |          9 |        179 |          0 |         51 |        230 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\functions (Files)                                                                                            |          7 |        106 |          0 |         28 |        134 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\functions\settings                                                                                           |          2 |         73 |          0 |         23 |         96 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\instances                                                                                                    |        121 |      3,130 |         18 |        840 |      3,988 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\libs                                                                                                         |          7 |        186 |          7 |         35 |        228 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\taskFunctions                                                                                                |          7 |        141 |          0 |         37 |        178 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\lib\types                                                                                                        |         13 |        893 |         13 |        280 |      1,186 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec                                                                                                             |         11 |         89 |          4 |         39 |        132 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec (Files)                                                                                                     |          2 |         84 |          0 |         39 |        123 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\require                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\require (Files)                                                                                             |          4 |          4 |          0 |          0 |          4 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\require\bar                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\test-project                                                                                                |          4 |          0 |          4 |          0 |          4 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\test-project (Files)                                                                                        |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\test-project\normal-folder                                                                                  |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\roblox_testez@0.4.1\testez\modules\lemur\spec\test-project\usurp                                                                                          |          2 |          0 |          2 |          0 |          2 |
| Packages\_Index\roblox_testez@0.4.1\testez\src                                                                                                                            |         15 |      1,421 |         83 |        374 |      1,878 |
| Packages\_Index\roblox_testez@0.4.1\testez\src (Files)                                                                                                                    |         12 |      1,192 |         78 |        303 |      1,573 |
| Packages\_Index\roblox_testez@0.4.1\testez\src\Reporters                                                                                                                  |          3 |        229 |          5 |         71 |        305 |
| Packages\_Index\roblox_testez@0.4.1\testez\test                                                                                                                           |          3 |         95 |         17 |         36 |        148 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli                                                                                                                     |         19 |        863 |         56 |        249 |      1,168 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli (Files)                                                                                                             |          2 |         63 |          0 |         27 |         90 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli\src                                                                                                                 |         17 |        800 |         56 |        222 |      1,078 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli\src (Files)                                                                                                         |         10 |        533 |         52 |        144 |        729 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli\src\targets                                                                                                         |          3 |        204 |          2 |         53 |        259 |
| Packages\_Index\roblox_testez@0.4.1\testez\testez-cli\src\tools                                                                                                           |          4 |         63 |          2 |         25 |         90 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests                                                                                                                          |         38 |      1,171 |         45 |        232 |      1,448 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests (Files)                                                                                                                  |          7 |        641 |         12 |        113 |        766 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e                                                                                                                      |         10 |        181 |          4 |         41 |        226 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e (Files)                                                                                                              |          1 |         59 |          0 |         14 |         73 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\afterEachAfterFailure                                                                                                |          3 |         30 |          3 |          6 |         39 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\afterEachAfterFailure\errorInAfterEachBlock                                                                          |          1 |         10 |          1 |          2 |         13 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\afterEachAfterFailure\errorInItBlock                                                                                 |          1 |         10 |          1 |          2 |         13 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\afterEachAfterFailure\failureInItBlock                                                                               |          1 |         10 |          1 |          2 |         13 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\expect-extend                                                                                                        |          2 |         32 |          0 |          3 |         35 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\expect-extend\tests                                                                                                  |          2 |         32 |          0 |          3 |         35 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\expect-extend\tests\foo                                                                                              |          2 |         32 |          0 |          3 |         35 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\lifecycle                                                                                                            |          4 |         60 |          1 |         18 |         79 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\lifecycle (Files)                                                                                                    |          1 |         42 |          1 |         12 |         55 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\lifecycle\testNameFilterDescribeBlock                                                                                |          1 |          9 |          0 |          3 |         12 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\e2e\lifecycle\testNameFilterFileName                                                                                     |          2 |          9 |          0 |          3 |         12 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\failing                                                                                                                  |          7 |         71 |          8 |         13 |         92 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\passing                                                                                                                  |         11 |        249 |         16 |         54 |        319 |
| Packages\_Index\roblox_testez@0.4.1\testez\tests\planning                                                                                                                 |          3 |         29 |          5 |         11 |         45 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2                                                                                                                          |         10 |        515 |          3 |        122 |        640 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2\raycasthitbox                                                                                                            |         10 |        515 |          3 |        122 |        640 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2\raycasthitbox (Files)                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2\raycasthitbox\lib                                                                                                        |          9 |        509 |          3 |        122 |        634 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2\raycasthitbox\lib (Files)                                                                                                |          5 |        437 |          3 |         99 |        539 |
| Packages\_Index\ruizukun-dev_raycasthitbox@1.0.2\raycasthitbox\lib\Solvers                                                                                                |          4 |         72 |          0 |         23 |         95 |
| Packages\_Index\sleitnick_signal@1.2.1                                                                                                                                    |          2 |        437 |         62 |         63 |        562 |
| Packages\_Index\sleitnick_signal@1.2.1\signal                                                                                                                             |          2 |        437 |         62 |         63 |        562 |
| Packages\_Index\tpc9000_tableutil@0.1.1                                                                                                                                   |         64 |      4,017 |         37 |        589 |      4,643 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil                                                                                                                         |         64 |      4,017 |         37 |        589 |      4,643 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil (Files)                                                                                                                 |          4 |      2,795 |          0 |        295 |      3,090 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil\src                                                                                                                     |         60 |      1,222 |         37 |        294 |      1,553 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil\src (Files)                                                                                                             |          1 |          6 |          0 |          0 |          6 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil\src\Array                                                                                                               |         29 |        639 |         18 |        161 |        818 |
| Packages\_Index\tpc9000_tableutil@0.1.1\tableutil\src\Map                                                                                                                 |         14 |        296 |         12 |         69 |        377 |
